Unit,stats_4Ghz_1V.txt,stats_1Ghz_.8V.txt
CUs19.wavefronts29,0,0
CUs19.wavefronts30,241659,58782
CUs19.wavefronts31,239212,55737
CUs19.wavefronts32,239068,56812
CUs19.wavefronts33,248587,62200
CUs19.wavefronts34,0,0
CUs19.wavefronts35,0,0
CUs19.wavefronts36,0,0
CUs19.wavefronts37,0,0
CUs19.wavefronts38,0,0
CUs19.wavefronts39,0,0
CUs20.wavefronts0,226064,57568
CUs20.wavefronts1,229088,54774
CUs20.wavefronts2,224987,54035
CUs20.wavefronts3,225119,55440
CUs20.wavefronts4,0,0
CUs20.wavefronts5,0,0
CUs20.wavefronts6,0,0
CUs20.wavefronts7,0,0
CUs20.wavefronts8,0,0
CUs20.wavefronts9,0,0
CUs20.wavefronts10,237722,63499
CUs20.wavefronts11,233199,59628
CUs20.wavefronts12,229421,58853
CUs20.wavefronts13,229293,61187
CUs20.wavefronts14,0,0
CUs20.wavefronts15,0,0
CUs20.wavefronts16,0,0
CUs20.wavefronts17,0,0
CUs20.wavefronts18,0,0
CUs20.wavefronts19,0,0
