CU,clock,Cycles,IPC,IPC_delta,CPI,CPI_delta,Frequency,Voltage,EDP,ED2P,Sensitivity
12,11222998000000,219506,0.0865398,0.364,11.5554,2.74725,1000000000.0,0.8,1.75824e-09,4.8303300000000004e-18,0.165721
12,11222999000000,221506,0.0870496,0.143,11.4877,6.99301,2000000000.0,0.9,2.83217e-09,9.902680000000001e-18,0.809655
12,11223000000000,222506,0.0871887,0.118,11.4694,8.47458,1000000000.0,0.8,5.42373e-09,4.59638e-17,0.537252
12,11223001000000,223506,0.0896889,0.646,11.1497,1.54799,1000000000.0,0.8,9.90712e-10,1.5336100000000002e-18,0.179366
12,11223002000000,225506,0.0896562,0.086,11.1537,11.6279,2000000000.0,0.9,4.7093e-09,2.73797e-17,0.676077
12,11223003000000,227506,0.089668,0.091,11.1523,10.989,2000000000.0,0.9,4.45055e-09,2.44536e-17,1.13198
12,11223004000000,228506,0.0911223,0.422,10.9743,2.36967,1000000000.0,0.8,1.51659e-09,3.5938100000000006e-18,2.04187
12,11223005000000,230506,0.0907265,0.0455,11.0221,21.978,2000000000.0,0.9,8.9011e-09,9.78143e-17,0.73498
12,11223006000000,231506,0.0905981,0.061,11.0378,16.3934,1000000000.0,0.8,1.04918e-08,1.71997e-16,0.461561
12,11223007000000,232506,0.0902729,0.015,11.0775,66.6667,1000000000.0,0.8,4.26667e-08,2.84444e-15,0.0368535
12,11223008000000,233506,0.0905116,0.146,11.0483,6.84932,1000000000.0,0.8,4.38356e-09,3.00244e-17,2.21288
12,11223009000000,234506,0.0908036,0.159,11.0128,6.28931,1000000000.0,0.8,4.02516e-09,2.53155e-17,1.35136
12,11223010000000,235506,0.0904181,0.0,11.0597,0.0,1000000000.0,0.8,0.0,0.0,0.266079
12,11223011000000,236506,0.0905643,0.125,11.0419,8.0,1000000000.0,0.8,5.12e-09,4.096e-17,0.200969
12,11223012000000,237506,0.0904103,0.054,11.0607,18.5185,1000000000.0,0.8,1.18519e-08,2.19479e-16,0.268932
12,11223013000000,238506,0.0911256,0.261,10.9739,3.83142,1000000000.0,0.8,2.45211e-09,9.395050000000001e-18,0.237065
12,11223014000000,239506,0.0921939,0.347,10.8467,2.88184,1000000000.0,0.8,1.84438e-09,5.31522e-18,0.719772
12,11223015000000,240506,0.0922721,0.111,10.8375,9.00901,1000000000.0,0.8,5.76577e-09,5.19438e-17,0.31507
12,11223016000000,241506,0.0940929,0.532,10.6278,1.8797,1000000000.0,0.8,1.20301e-09,2.2612900000000003e-18,0.289649
12,11223017000000,242506,0.0942203,0.125,10.6134,8.0,1000000000.0,0.8,5.12e-09,4.096e-17,0.68754
12,11223018000000,243506,0.0942893,0.111,10.6057,9.00901,1000000000.0,0.8,5.76577e-09,5.19438e-17,0.282808
12,11223019000000,244506,0.0965907,0.657,10.353,1.52207,1000000000.0,0.8,9.74125e-10,1.48269e-18,0.335924
12,11223020000000,245506,0.0966494,0.111,10.3467,9.00901,1000000000.0,0.8,5.76577e-09,5.19438e-17,0.578268
12,11223021000000,246506,0.097166,0.224,10.2917,4.46429,1000000000.0,0.8,2.85714e-09,1.27551e-17,0.230417
12,11223022000000,247506,0.0985229,0.433,10.1499,2.30947,1000000000.0,0.8,1.47806e-09,3.4135300000000004e-18,0.769487
12,11223023000000,248506,0.0985731,0.111,10.1448,9.00901,1000000000.0,0.8,5.76577e-09,5.19438e-17,0.400748
12,11223024000000,249506,0.0999655,0.446,10.0034,2.24215,1000000000.0,0.8,1.43498e-09,3.2174400000000004e-18,0.212731
12,11223025000000,250506,0.100409,0.211,9.95929,4.73934,1000000000.0,0.8,3.03318e-09,1.43752e-17,0.742707
